ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-10-24,60897.9954786971,-21980.751398150813,37775.96824578913,60897.9954786971,60897.9954786971,-51881.10352563928,-51881.10352563928,-51881.10352563928,-30657.248195754,-30657.248195754,-30657.248195754,6641.878134646216,6641.878134646216,6641.878134646216,-27865.733464531495,-27865.733464531495,-27865.733464531495,0.0,0.0,0.0,9016.89195305782
2025-10-25,61299.45785817051,-28825.698560718403,30622.194240497352,61299.45785817051,61299.45785817051,-60813.31790595418,-60813.31790595418,-60813.31790595418,-30657.248195754,-30657.248195754,-30657.248195754,-1903.3792819201808,-1903.3792819201808,-1903.3792819201808,-28252.69042827999,-28252.69042827999,-28252.69042827999,0.0,0.0,0.0,486.1399522163265
2025-10-26,61700.920237643906,-29651.213526284966,30118.601369892254,61700.920237643906,61700.920237643906,-61264.00453580398,-61264.00453580398,-61264.00453580398,-30657.248195754,-30657.248195754,-30657.248195754,-1906.6827884346553,-1906.6827884346553,-1906.6827884346553,-28700.07355161533,-28700.07355161533,-28700.07355161533,0.0,0.0,0.0,436.91570183992735
2025-10-27,62102.38259434479,-25835.743584976844,29942.701160306373,62102.38259434479,62102.38259434479,-60222.21742677006,-60222.21742677006,-60222.21742677006,-30657.248195754,-30657.248195754,-30657.248195754,-358.0915469854145,-358.0915469854145,-358.0915469854145,-29206.877684030642,-29206.877684030642,-29206.877684030642,0.0,0.0,0.0,1880.165167574727
2025-10-28,62503.84495104567,-28995.79698651191,29220.240256309484,62503.84495104567,62503.84495104567,-62221.06810350702,-62221.06810350702,-62221.06810350702,-30657.248195754,-30657.248195754,-30657.248195754,-1794.1471434858254,-1794.1471434858254,-1794.1471434858254,-29769.672764267194,-29769.672764267194,-29769.672764267194,0.0,0.0,0.0,282.7768475386474
2025-10-29,62905.30730774657,-26558.14327097818,32148.295225786194,62905.30730774657,62905.30730774657,-60118.96271922855,-60118.96271922855,-60118.96271922855,-30657.248195754,-30657.248195754,-30657.248195754,920.8536630237479,920.8536630237479,920.8536630237479,-30382.56818649829,-30382.56818649829,-30382.56818649829,0.0,0.0,0.0,2786.344588518019
2025-10-30,63306.76966444745,-30326.487717766337,29029.349922796642,63306.76966444745,63306.76966444745,-63294.93544226952,-63294.93544226952,-63294.93544226952,-30657.248195754,-30657.248195754,-30657.248195754,-1600.4310368661925,-1600.4310368661925,-1600.4310368661925,-31037.256209649324,-31037.256209649324,-31037.256209649324,0.0,0.0,0.0,11.834222177931224
2025-10-31,63708.23202114833,-21751.436486529947,38365.498247383955,63708.23202114833,63708.23202114833,-55738.506931388125,-55738.506931388125,-55738.506931388125,-30657.248195754,-30657.248195754,-30657.248195754,6641.878134651282,6641.878134651282,6641.878134651282,-31723.13687028541,-31723.13687028541,-31723.13687028541,0.0,0.0,0.0,7969.725089760206
2025-11-01,64109.69437784921,-31827.470516737147,29566.396741951143,64109.69437784921,64109.69437784921,-64988.15190419639,-64988.15190419639,-64988.15190419639,-30657.248195754,-30657.248195754,-30657.248195754,-1903.3792819205166,-1903.3792819205166,-1903.3792819205166,-32427.52442652187,-32427.52442652187,-32427.52442652187,0.0,0.0,0.0,-878.4575263471779
2025-11-02,64511.15673455011,-28868.944754734366,28309.584170379207,64511.15673455011,64511.15673455011,-65699.86381782187,-65699.86381782187,-65699.86381782187,-30657.248195754,-30657.248195754,-30657.248195754,-1906.6827884396562,-1906.6827884396562,-1906.6827884396562,-33135.932833628205,-33135.932833628205,-33135.932833628205,0.0,0.0,0.0,-1188.7070832717582
2025-11-03,64912.61909125101,-32459.74604630684,30029.104376556195,64912.61909125101,64912.61909125101,-64847.77494808015,-64847.77494808015,-64847.77494808015,-30657.248195754,-30657.248195754,-30657.248195754,-358.0915469999107,-358.0915469999107,-358.0915469999107,-33832.43520532624,-33832.43520532624,-33832.43520532624,0.0,0.0,0.0,64.84414317085611
2025-11-04,65314.08144883697,-31226.446117390904,29055.024029295746,65314.08144883697,65314.08144883697,-66951.48506242775,-66951.48506242775,-66951.48506242775,-30657.248195754,-30657.248195754,-30657.248195754,-1794.1471434910738,-1794.1471434910738,-1794.1471434910738,-34500.089723182675,-34500.089723182675,-34500.089723182675,0.0,0.0,0.0,-1637.4036135907736
2025-11-05,65715.54380642297,-29462.117362596266,29455.84091959439,65715.54380642297,65715.54380642297,-64857.816630410445,-64857.816630410445,-64857.816630410445,-30657.248195754,-30657.248195754,-30657.248195754,920.8536630153416,920.8536630153416,920.8536630153416,-35121.42209767179,-35121.42209767179,-35121.42209767179,0.0,0.0,0.0,857.7271760125222
