ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-05-10,-6146.218416142243,-30247.99784357286,29565.553622704796,-6146.218416142243,-6146.218416142243,5825.432329524694,5825.432329524694,5825.432329524694,-30657.248195754,-30657.248195754,-30657.248195754,-1903.3792819045132,-1903.3792819045132,-1903.3792819045132,38386.05980718321,38386.05980718321,38386.05980718321,0.0,0.0,0.0,-320.7860866175488
2025-05-11,-5744.755998850513,-30782.30304248105,31615.03733131187,-5744.755998850513,-5744.755998850513,5407.778896911654,5407.778896911654,5407.778896911654,-30657.248195754,-30657.248195754,-30657.248195754,-1906.6827884456784,-1906.6827884456784,-1906.6827884456784,37971.70988111134,37971.70988111134,37971.70988111134,0.0,0.0,0.0,-336.97710193885905
2025-05-12,-5343.293581558782,-27963.533847330564,30807.521710103196,-5343.293581558782,-5343.293581558782,6498.795947385475,6498.795947385475,6498.795947385475,-30657.248195754,-30657.248195754,-30657.248195754,-358.0915469886112,-358.0915469886112,-358.0915469886112,37514.13569012808,37514.13569012808,37514.13569012808,0.0,0.0,0.0,1155.5023658266937
2025-05-13,-4941.831164267051,-29812.353371423786,28754.10353550583,-4941.831164267051,-4941.831164267051,4566.3685634069125,4566.3685634069125,4566.3685634069125,-30657.248195754,-30657.248195754,-30657.248195754,-1794.1471434815871,-1794.1471434815871,-1794.1471434815871,37017.763902642495,37017.763902642495,37017.763902642495,0.0,0.0,0.0,-375.4626008601381
2025-05-14,-4540.36874697532,-30695.40187139908,30032.851940517678,-4540.36874697532,-4540.36874697532,6751.251307364099,6751.251307364099,6751.251307364099,-30657.248195754,-30657.248195754,-30657.248195754,920.8536630292815,920.8536630292815,920.8536630292815,36487.64584008882,36487.64584008882,36487.64584008882,0.0,0.0,0.0,2210.882560388779
2025-05-15,-4138.906329683589,-28976.00787161564,32018.228220502537,-4138.906329683589,-4138.906329683589,3671.6994427073237,3671.6994427073237,3671.6994427073237,-30657.248195754,-30657.248195754,-30657.248195754,-1600.4310368694319,-1600.4310368694319,-1600.4310368694319,35929.37867533076,35929.37867533076,35929.37867533076,0.0,0.0,0.0,-467.20688697626565
2025-05-16,-3737.4439123918573,-21615.529177391414,36958.76160131126,-3737.4439123918573,-3737.4439123918573,11333.629720953319,11333.629720953319,11333.629720953319,-30657.248195754,-30657.248195754,-30657.248195754,6641.878134652796,6641.878134652796,6641.878134652796,35348.999782054525,35348.999782054525,35348.999782054525,0.0,0.0,0.0,7596.185808561461
2025-05-17,-3335.9815028924327,-33428.169883258524,28404.40935328337,-3335.9815028924327,-3335.9815028924327,2192.2307338310316,2192.2307338310316,2192.2307338310316,-30657.248195754,-30657.248195754,-30657.248195754,-1903.3792819048485,-1903.3792819048485,-1903.3792819048485,34752.85821148988,34752.85821148988,34752.85821148988,0.0,0.0,0.0,-1143.7507690614011
2025-05-18,-2934.519093393006,-34320.627971459726,28186.720457127383,-2934.519093393006,-2934.519093393006,1583.5371320075405,1583.5371320075405,1583.5371320075405,-30657.248195754,-30657.248195754,-30657.248195754,-1906.6827884299762,-1906.6827884299762,-1906.6827884299762,34147.468116191514,34147.468116191514,34147.468116191514,0.0,0.0,0.0,-1350.9819613854656
2025-05-19,-2533.056683893581,-29796.180374292137,31264.81744726067,-2533.056683893581,-2533.056683893581,2524.009853541398,2524.009853541398,2524.009853541398,-30657.248195754,-30657.248195754,-30657.248195754,-358.0915469922272,-358.0915469922272,-358.0915469922272,33539.349596287626,33539.349596287626,33539.349596287626,0.0,0.0,0.0,-9.046830352182951
2025-05-20,-2131.5942743941573,-29579.482751760803,28691.681425574556,-2131.5942743941573,-2131.5942743941573,483.46755220520953,483.46755220520953,483.46755220520953,-30657.248195754,-30657.248195754,-30657.248195754,-1794.147143498441,-1794.147143498441,-1794.147143498441,32934.86289145765,32934.86289145765,32934.86289145765,0.0,0.0,0.0,-1648.1267221889477
2025-05-21,-1730.1318648947301,-28432.09588213929,32282.32240513929,-1730.1318648947301,-1730.1318648947301,2603.647538056044,2603.647538056044,2603.647538056044,-30657.248195754,-30657.248195754,-30657.248195754,920.8536630208756,920.8536630208756,920.8536630208756,32340.04207078917,32340.04207078917,32340.04207078917,0.0,0.0,0.0,873.515673161314
